                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2014.08f on 10 3 2015                              
                                          UCC -dir ../src                                          

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
Python,16,770,661

Total,16,770,661
